Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.00982769,1,0.333333,0.13,246.451,197.122,170.922
0.001,0.00982769,1,0.333333,0.17,247.037,198.126,174.013
0.001,0.00982769,1,0.5,0.21,246.804,198.814,176.579
0.001,0.00982769,1,0.833333,0.01,241.099,190.513,161.33
0.001,0.00982769,1,0.833333,0.05,242.179,192.78,166.922
0.001,0.00982769,1,0.666667,0.17,245.61,197.356,175.683
0.001,0.00982769,1,0.666667,0.25,246.439,199.614,179.947
0.001,0.00982769,1,0.833333,0.13,244.051,195.81,174.316
0.001,0.00982769,1,0.833333,0.21,245.219,198.01,179.919
0.001,0.00982769,1,1,0.01,240.218,189.995,163.964
0.001,0.00982769,1,0.666667,0.01,242.115,191.328,159.542
0.001,0.00982769,1,0.5,0.25,247.355,200.123,179.103
0.001,0.00982769,1,0.666667,0.05,243.382,193.433,165.447
0.001,0.00982769,1,1,0.13,242.838,195.084,176.364
0.001,0.00982769,1,0.666667,0.09,244.108,194.96,169.691
0.001,0.00982769,1,0.666667,0.13,244.873,196.205,172.788
0.001,0.0416978,0,0,0.01,228.353,138.303,108.63
0.001,0.00982769,1,0.666667,0.21,245.97,198.522,178.153
0.001,0.00982769,1,0.833333,0.09,243.241,194.152,171.44
0.001,0.00982769,1,0.833333,0.17,244.5,196.968,177.161
0.001,0.0416978,0,0,0.05,230.658,146.009,123.993
0.001,0.00982769,1,0.833333,0.25,245.903,199.095,181.715
0.001,0.00982769,1,1,0.05,241.43,191.914,169.535
0.001,0.0416978,0,0,0.17,235.209,159.497,146.336
0.001,0.00982769,1,1,0.09,242.255,193.575,173.238
0.001,0.00982769,1,1,0.21,244.337,197.788,181.113
0.001,0.0416978,0,0,0.13,234.085,155.137,140.821
0.001,0.00982769,1,1,0.25,245.143,198.859,183.044
0.001,0.0416978,0,0,0.21,235.928,162.385,151.633
0.001,0.0416978,0,0.166667,0.09,227.742,149.796,134.662
0.001,0.00982769,1,1,0.17,243.547,196.421,178.447
0.001,0.0416978,0,0,0.09,232.326,150.769,133.741
0.001,0.0416978,0,0.166667,0.01,223.098,137.11,110.466
0.001,0.0416978,0,0.166667,0.05,225.657,144.415,125.561
0.001,0.0416978,0,0,0.25,236.892,165.688,155.822
0.001,0.0416978,0,0.333333,0.01,218.031,135.036,112.264
0.001,0.0416978,0,0.166667,0.17,230.374,158.188,147.138
0.001,0.0416978,0,0.166667,0.21,231.806,161.663,152.239
0.001,0.0416978,0,0.166667,0.25,232.688,164.953,156.507
0.001,0.0416978,0,0.333333,0.05,221.087,143.386,127.537
0.001,0.0416978,0,0.333333,0.09,223.334,149.078,136.285
0.001,0.0416978,0,0.166667,0.13,229.354,154.078,141.028
0.001,0.0416978,0,0.333333,0.25,229.073,164.073,158.164
0.001,0.0416978,0,0.5,0.09,219.44,148.523,138.064
0.001,0.0416978,0,0.333333,0.13,224.933,153.763,143.246
0.001,0.0416978,0,0.333333,0.17,226.458,157.083,148.845
0.001,0.0416978,0,0.5,0.21,224.434,160.199,155.095
0.001,0.0416978,0,0.5,0.01,213.748,134.269,115.714
0.001,0.0416978,0,0.333333,0.21,227.855,161.018,153.692
0.001,0.0416978,0,0.5,0.25,225.743,163.393,159.47
0.001,0.0416978,0,0.833333,0.01,206.31,132.552,123.888
