Cm,Ch,Bm,Bh,T,sR,sG,sB
0.00571898,0.00221673,0.5,0.75,0.25,9.38385,7.73646,5.97809
0.00571898,0.0370974,0.5,0.75,0.25,7.5337,5.40756,4.49283
0.00571898,0.0125124,0.5,0.75,0.25,8.57881,6.76074,5.21831
0.00571898,0.0467429,0.5,0.75,0.25,7.24689,4.98777,4.30148
0.00571898,0.0522165,0.5,0.75,0.25,6.97399,4.94256,4.21292
0.00571898,0.0223524,0.5,0.75,0.25,8.01995,6.04039,4.82537
0.00571898,0.0169004,0.5,0.75,0.25,8.30055,6.28606,4.89662
0.00571898,0.0871198,0.5,0.75,0.25,6.31456,4.15035,3.82831
0.00571898,0.137144,0.5,0.75,0.25,5.62892,3.64388,3.44861
0.00571898,0.125752,0.5,0.75,0.25,5.79257,3.68791,3.43908
0.00571898,0.115084,0.5,0.75,0.25,5.84237,3.85477,3.67671
0.00571898,0.10511,0.5,0.75,0.25,6.10353,3.94162,3.57207
0.00571898,0.0957984,0.5,0.75,0.25,6.22457,4.03095,3.66922
0.00571898,0.206132,0.5,0.75,0.25,4.77693,3.02274,3.08984
0.00571898,0.064591,0.5,0.75,0.25,6.82115,4.55331,4.0785
0.00571898,0.0790447,0.5,0.75,0.25,6.44062,4.28623,3.89697
0.00571898,0.23998,0.5,0.75,0.25,4.60975,2.77001,3.06534
0.00571898,0.0581572,0.5,0.75,0.25,6.94075,4.75343,4.17649
0.00571898,0.32,0.5,0.75,0.25,4.11096,2.35616,2.90776
0.00571898,0.258387,0.5,0.75,0.25,4.39606,2.68692,2.96836
0.00571898,0.298359,0.5,0.75,0.25,4.14586,2.51256,2.90564
0.00571898,0.149294,0.5,0.75,0.25,5.44956,3.57354,3.33869
0.00571898,0.0715445,0.5,0.75,0.25,6.73325,4.3729,4.06793
0.00571898,0.222573,0.5,0.75,0.25,4.64624,2.9025,3.02519
0.00571898,0.175997,0.5,0.75,0.25,5.28683,3.33624,3.16082
0.00571898,0.190618,0.5,0.75,0.25,5.01285,3.07532,3.16826
0.00736883,0.001,0.5,0.75,0.25,9.13962,7.41435,5.18994
0.00736883,0.00221673,0.5,0.75,0.25,8.88637,7.24534,5.10227
0.00571898,0.277834,0.5,0.75,0.25,4.24187,2.62452,2.79191
0.00571898,0.162234,0.5,0.75,0.25,5.33494,3.38296,3.28632
0.00736883,0.00349187,0.5,0.75,0.25,8.96266,7.10002,4.89244
0.00736883,0.00634605,0.5,0.75,0.25,8.47508,6.89861,4.76507
0.00736883,0.00525113,0.5,0.75,0.25,8.55023,6.82673,4.85837
0.00736883,0.00132752,0.5,0.75,0.25,9.13134,7.40409,5.31387
0.00736883,0.00172959,0.5,0.75,0.25,9.1418,7.32808,5.18812
0.00736883,0.00430441,0.5,0.75,0.25,8.80306,7.10257,4.83204
0.00736883,0.00280018,0.5,0.75,0.25,8.77562,7.23066,5.0406
0.00736883,0.0106706,0.5,0.75,0.25,8.07293,6.0621,4.33485
0.00736883,0.0169004,0.5,0.75,0.25,8.00227,5.61215,4.16631
0.00736883,0.0223524,0.5,0.75,0.25,7.6273,5.32356,4.0426
0.00736883,0.0194837,0.5,0.75,0.25,7.47169,5.40612,4.10693
0.00736883,0.0125124,0.5,0.75,0.25,7.93895,5.96932,4.27251
0.00736883,0.014583,0.5,0.75,0.25,8.07008,5.85679,4.19726
0.00736883,0.0255268,0.5,0.75,0.25,7.52739,5.17923,3.88522
0.00736883,0.0467429,0.5,0.75,0.25,6.90217,4.42805,3.60135
0.00736883,0.0370974,0.5,0.75,0.25,7.12573,4.61281,3.79919
0.00736883,0.0522165,0.5,0.75,0.25,6.48629,4.25963,3.58397
0.00736883,0.00904004,0.5,0.75,0.25,8.34644,6.17823,4.50207
0.00736883,0.0581572,0.5,0.75,0.25,6.4142,4.16754,3.44998
0.00736883,0.00760388,0.5,0.75,0.25,8.38477,6.27703,4.49606
0.00736883,0.0328773,0.5,0.75,0.25,7.2217,4.74301,3.85404
0.00736883,0.10511,0.5,0.75,0.25,5.49305,3.40936,3.02481
0.00736883,0.115084,0.5,0.75,0.25,5.30894,3.26734,3.06947
0.00736883,0.149294,0.5,0.75,0.25,5.07767,2.90813,2.90368
0.00736883,0.0290279,0.5,0.75,0.25,7.15742,4.96394,3.94794
0.00736883,0.064591,0.5,0.75,0.25,6.32981,4.00115,3.37778
0.00736883,0.0417114,0.5,0.75,0.25,6.84468,4.49498,3.70075
0.00736883,0.162234,0.5,0.75,0.25,4.69897,2.71894,2.92505
0.00736883,0.175997,0.5,0.75,0.25,4.68626,2.71148,2.88347
0.00736883,0.0790447,0.5,0.75,0.25,6.07549,3.74943,3.2641
0.00736883,0.125752,0.5,0.75,0.25,5.25591,3.05503,3.01005
0.00736883,0.0871198,0.5,0.75,0.25,5.96288,3.51145,3.31474
0.00736883,0.0957984,0.5,0.75,0.25,5.65172,3.46163,3.16369
0.00736883,0.0715445,0.5,0.75,0.25,6.10631,3.92207,3.35168
0.00736883,0.137144,0.5,0.75,0.25,5.1181,3.00855,3.04657
